epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3449,2.51257,5.02169,2.20755,0,0,0,0,0,14.8254,0,0.0901,0.0001,0.0001
2,127.4,2.61253,4.10004,2.1331,0,0,0,0,0,8.73883,0,0.0792058,0.000205842,0.000205842
3,190.381,2.38427,3.12026,2.05977,0,0,0,0,0,3.04289,0,0.0683073,0.000307328,0.000307328
4,252.788,2.1035,3.11729,1.83046,0,0,0,0,1e-05,1.955,1e-05,0.0574045,0.000404458,0.000404458
5,315.958,2.39141,3.32258,2.08577,0,0,0,0,0.00011,1.34051,7e-05,0.0464972,0.000497232,0.000497232
6,382.544,2.09285,3.12665,1.83504,0,0,0,0,2e-05,27.8756,1e-05,0.0355857,0.00058565,0.00058565
7,444.628,2.45263,3.31034,2.03996,0,0,0,0,0.40831,503.986,0.31305,0.0246697,0.000669712,0.000669712
8,508.021,2.48686,3.06188,1.99198,0,0,0,0,1.30118,1549,0.78929,0.0137494,0.000749418,0.000749418
9,572.207,2.61026,3.3935,2.32641,0,0,0,0,1.30118,1549,0.78929,0.00282477,0.000824768,0.000824768
10,634.363,2.58061,3.2204,2.29523,0,0,0,0,1.29852,1847.87,0.61974,0.0008218,0.0008218,0.0008218
11,696.378,2.54061,3.24365,2.13248,0,0,0,0,0.62813,1866.01,0.35348,0.000802,0.000802,0.000802
12,759.978,2.30427,3.23374,1.96451,0,0,0,0,0.62813,1866.01,0.35348,0.0007822,0.0007822,0.0007822
13,828.831,2.42998,3.21981,2.09119,0,0,0,0,1.91069,2204.57,0.57064,0.0007624,0.0007624,0.0007624
14,894.41,2.30034,2.94845,2.02477,0,0,0,0,0.13756,3299.46,0.07375,0.0007426,0.0007426,0.0007426
15,959.308,2.53437,3.38537,2.07703,0,0,0,0,0.13756,3299.46,0.07375,0.0007228,0.0007228,0.0007228
16,1028.72,2.27404,2.77661,1.83444,0,0,0,0,0.34166,1568.85,0.15165,0.000703,0.000703,0.000703
17,1129.92,2.30764,2.72015,2.0089,0,0,0,0,1.85945,2892.74,0.80141,0.0006832,0.0006832,0.0006832
18,1213.87,2.17255,2.68198,2.02501,0,0,0,0,1.16427,11.394,0.44442,0.0006634,0.0006634,0.0006634
19,1296.54,2.26884,2.92288,2.07337,0,0,0,0,1.16427,11.394,0.44442,0.0006436,0.0006436,0.0006436
20,1378.75,2.02417,2.6261,1.72129,0,0,0,0,1.46898,8.58785,0.47901,0.0006238,0.0006238,0.0006238
21,1480.48,2.35767,2.94091,1.98864,0,0,0,0,2.5859,5.94068,1.02607,0.000604,0.000604,0.000604
22,1572.55,2.22467,2.59625,2.07203,0,0,0,0,2.5859,5.94068,1.02607,0.0005842,0.0005842,0.0005842
23,1654.54,2.38715,2.79869,1.96462,0,0,0,0,4.62632,6.60013,1.96782,0.0005644,0.0005644,0.0005644
24,1750.25,2.18919,2.61077,1.94526,0,0,0,0,4.44389,6.83709,1.75675,0.0005446,0.0005446,0.0005446
25,1834.9,2.19366,2.59806,1.9212,0,0,0,0,4.44389,6.83709,1.75675,0.0005248,0.0005248,0.0005248
26,1910.58,2.18667,2.52426,1.98331,0,0,0,0,4.06482,6.97436,1.58797,0.000505,0.000505,0.000505
27,1992.86,2.03336,2.25216,1.76982,0.01515,0.5,0.24875,0.04975,3.59495,11.77,1.43573,0.0004852,0.0004852,0.0004852
28,2080.58,2.1088,2.11957,1.8406,0.01515,0.5,0.24875,0.04975,3.59495,11.77,1.43573,0.0004654,0.0004654,0.0004654
29,2152.65,2.16296,2.57805,1.92955,0.02381,0.5,0.16583,0.04975,3.6033,5.95679,1.43273,0.0004456,0.0004456,0.0004456
30,2215.62,2.0984,2.40398,1.86107,0.05,0.5,0.24875,0.04975,3.81389,6.30143,1.45594,0.0004258,0.0004258,0.0004258
31,2280.74,2.05493,2.38361,1.87671,0.05,0.5,0.24875,0.04975,3.81389,6.30143,1.45594,0.000406,0.000406,0.000406
32,2343.6,2.08994,2.16292,1.80381,0.1,0.5,0.4975,0.04975,3.80236,5.93957,1.35724,0.0003862,0.0003862,0.0003862
33,2408.1,2.05846,2.21557,1.76883,0,0,0,0,3.81527,5.85084,1.36563,0.0003664,0.0003664,0.0003664
34,2474.23,1.78318,2.11364,1.65019,0.05,0.5,0.4975,0.04975,3.80814,5.98921,1.41562,0.0003466,0.0003466,0.0003466
35,2537.77,2.03719,2.12767,1.77167,0.05,0.5,0.4975,0.04975,3.80814,5.98921,1.41562,0.0003268,0.0003268,0.0003268
36,2603.32,2.05721,2.23716,1.77162,0.04545,0.5,0.4975,0.04975,3.81391,11.2005,1.48631,0.000307,0.000307,0.000307
37,2669.37,2.18125,2.38621,1.87654,0.025,0.5,0.4975,0.04975,3.80686,8.00559,1.48445,0.0002872,0.0002872,0.0002872
38,2737.34,2.29523,2.18596,1.93066,0.025,0.5,0.4975,0.04975,3.80686,8.00559,1.48445,0.0002674,0.0002674,0.0002674
39,2800.45,1.95629,1.85105,1.66773,0.01923,0.5,0.4975,0.0995,3.78567,5.02931,1.45126,0.0002476,0.0002476,0.0002476
40,2866.99,2.2248,2.3632,1.99454,0.01923,0.5,0.4975,0.0995,3.76416,4.06397,1.43418,0.0002278,0.0002278,0.0002278
41,2932.43,1.93965,2.10704,1.69669,0.01923,0.5,0.4975,0.0995,3.76416,4.06397,1.43418,0.000208,0.000208,0.000208
42,2997.16,2.08886,2.03705,1.95737,0.04378,0.5,0.51213,0.10096,3.60956,3.90016,1.37692,0.0001882,0.0001882,0.0001882
43,3063.74,1.87557,1.93013,1.82213,0.11565,0.5,0.51527,0.10305,3.51496,3.77163,1.3374,0.0001684,0.0001684,0.0001684
44,3128.71,1.9105,1.78894,1.71749,0.11565,0.5,0.51527,0.10305,3.51496,3.77163,1.3374,0.0001486,0.0001486,0.0001486
45,3206.44,2.11451,1.99571,1.78925,0.03083,0.5,0.51527,0.10305,3.45912,3.65695,1.30835,0.0001288,0.0001288,0.0001288
46,3290.59,1.85728,1.84815,1.74273,0.03312,1,0.51593,0.10319,3.37964,3.39852,1.28237,0.000109,0.000109,0.000109
47,3377.81,1.95522,1.87374,1.58178,0.03312,1,0.51593,0.10319,3.37964,3.39852,1.28237,8.92e-05,8.92e-05,8.92e-05
48,3462.22,1.76853,1.74595,1.64036,0.03486,1,0.51823,0.10365,3.35375,3.23233,1.26913,6.94e-05,6.94e-05,6.94e-05
49,3538.44,1.8951,1.80495,1.62464,0.04111,0.5,0.52119,0.10424,3.34732,3.09313,1.26521,4.96e-05,4.96e-05,4.96e-05
50,3621.76,1.80351,1.68547,1.60892,0.10333,0.5,0.52119,0.10424,3.34246,3.0533,1.26088,2.98e-05,2.98e-05,2.98e-05
